,corrosion,crack,spalling,accuracy,macro avg,weighted avg
precision,0.8485334555453712,0.7845528455284553,0.6133476856835307,0.7475052049680523,0.7488113289191191,0.7576113728599165
recall,0.7920855614973262,0.7262464722483537,0.7232800203097233,0.7475052049680523,0.7472040180184677,0.7475052049680523
f1-score,0.8193384223918574,0.7542745481191989,0.6637931034482758,0.7475052049680523,0.7458020246531106,0.7505246164418289
support,4675.0,5315.0,3939.0,0.7475052049680523,13929.0,13929.0
