,corrosion,crack,spalling,accuracy,macro avg,weighted avg
precision,0.8152933700487185,0.7940122285473329,0.6161254199328108,0.7442027424797186,0.7418103395096208,0.7508499913003214
recall,0.8233155080213904,0.7085606773283161,0.6984006092916984,0.7442027424797186,0.7434255982138017,0.7442027424797186
f1-score,0.8192848020434227,0.7488566315370849,0.6546882436934792,0.7442027424797186,0.7409432257579956,0.7458644869036701
support,4675.0,5315.0,3939.0,0.7442027424797186,13929.0,13929.0
